,input_size,jpeg_size,output_shape,compression,jpeg_compression,macs_base_encoder,params_base_encoder,macs_compressor,params_compressor,macs_decoder,params_decoder,Setting,Iou50:95,Iou50
0,768,404049,"[1, 48, 96, 96]",0.25,0.2283443874782986,2272760954.0,176854,0.0,0.0,9204144379.0,7963493,Teacher,0.4216,0.613
1,768,404049,"[1, 8, 96, 96]",0.041666666666666664,0.2283443874782986,2272760954.0,176854,228490284.0,43308.0,9097976059.0,7963493,0.167,0.3705,0.5429
2,768,404049,"[1, 12, 96, 96]",0.0625,0.2283443874782986,2272760954.0,176854,239217708.0,43308.0,9108592891.0,7963493,0.25,0.3845,0.5638
3,768,404049,"[1, 16, 96, 96]",0.08333333333333333,0.2283443874782986,2272760954.0,176854,249945132.0,43308.0,9119209723.0,7963493,0.33,0.3915,0.5759
4,768,404049,"[1, 20, 96, 96]",0.10416666666666667,0.2283443874782986,2272760954.0,176854,260672556.0,43308.0,9129826555.0,7963493,0.416,0.4052,0.594
5,768,404049,"[1, 24, 96, 96]",0.125,0.2283443874782986,2272760954.0,176854,271399980.0,43308.0,9140443387.0,7963493,0.5,0.4021,0.5917
6,768,404049,"[1, 28, 96, 96]",0.14583333333333334,0.2283443874782986,2272760954.0,176854,282127404.0,43308.0,9151060219.0,7963493,0.58,0.4054,0.5963
7,768,404049,"[1, 32, 96, 96]",0.16666666666666666,0.2283443874782986,2272760954.0,176854,292854828.0,43308.0,9161677051.0,7963493,0.66,0.4081,0.5979
8,768,404049,"[1, 36, 96, 96]",0.1875,0.2283443874782986,2272760954.0,176854,303582252.0,43308.0,9172293883.0,7963493,0.75,0.4077,0.598
9,768,404049,"[1, 40, 96, 96]",0.20833333333333334,0.2283443874782986,2272760954.0,176854,314309676.0,43308.0,9182910715.0,7963493,0.83,0.4078,0.598
10,768,404049,"[1, 44, 96, 96]",0.22916666666666666,0.2283443874782986,2272760954.0,176854,325037100.0,43308.0,9193527547.0,7963493,0.916,0.4082,0.5983
11,768,404049,"[1, 48, 96, 96]",0.25,0.2283443874782986,2272760954.0,176854,335764524.0,43308.0,9204144379.0,7963493,1.0,0.4079,0.5985
