,input_size,jpeg_size,output_shape,compression,jpeg_compression,macs_base_encoder,params_base_encoder,macs_compressor,params_compressor,macs_decoder,params_decoder,Setting,Iou50:95,Iou50
0,800,437445,"[1, 64, 200, 200]",1.3333333333333333,0.2278359375,1525760000.0,160704,0.0,0.0,141781352761.0,41812078,Teacher,0.3696,0.585
1,800,437445,"[1, 3, 204, 204]",0.065025,0.2278359375,1525760000.0,160704,6110478592.0,151296.0,141685283593.0,41812078,0.25,0.3529,0.562
2,800,437445,"[1, 4, 204, 204]",0.0867,0.2278359375,1525760000.0,160704,6121132288.0,151296.0,141695957945.0,41812078,0.33,0.3558,0.5658
3,800,437445,"[1, 5, 204, 204]",0.108375,0.2278359375,1525760000.0,160704,6131785984.0,151296.0,141706632297.0,41812078,0.416,0.36,0.5707
4,800,437445,"[1, 6, 204, 204]",0.13005,0.2278359375,1525760000.0,160704,6142439680.0,151296.0,141717306649.0,41812078,0.5,0.362,0.5743
5,800,437445,"[1, 7, 204, 204]",0.151725,0.2278359375,1525760000.0,160704,6153093376.0,151296.0,141727981001.0,41812078,0.58,0.3629,0.5763
6,800,437445,"[1, 8, 204, 204]",0.1734,0.2278359375,1525760000.0,160704,6163747072.0,151296.0,141738655353.0,41812078,0.66,0.3639,0.5771
7,800,437445,"[1, 9, 204, 204]",0.195075,0.2278359375,1525760000.0,160704,6174400768.0,151296.0,141749329705.0,41812078,0.75,0.3644,0.5779
8,800,437445,"[1, 10, 204, 204]",0.21675,0.2278359375,1525760000.0,160704,6185054464.0,151296.0,141760004057.0,41812078,0.83,0.3649,0.5782
9,800,437445,"[1, 11, 204, 204]",0.238425,0.2278359375,1525760000.0,160704,6195708160.0,151296.0,141770678409.0,41812078,0.916,0.3649,0.5786
10,800,437445,"[1, 12, 204, 204]",0.2601,0.2278359375,1525760000.0,160704,6206361856.0,151296.0,141781352761.0,41812078,1.0,0.3649,0.5779
